Provinsi,Rencana Jumlah Keluarga Penerima Manfaat (KPM) Bantuan Sosial Pangan (BANSOS PANGAN),Realisasi Jumlah Keluarga Penerima Manfaat (KPM) Bantuan Sosial Pangan (BANSOS PANGAN),Rencana Anggaran Bantuan Sosial Pangan (BANSOS PANGAN) (Rp),Realisasi Anggaran Bantuan Sosial Pangan (BANSOS PANGAN) (Rp)
Aceh,1959397,1932814,1.17564E+12,1.15969E+12
Sumatera Utara,3146951,3074198,1.88817E+12,1.84452E+12
Sumatera Barat,1297888,1273639,7.78733E+11,7.64183E+11
Riau,1087061,1052412,6.52237E+11,6.31447E+11
Jambi,698729,684629,4.19237E+11,4.10777E+11
Sumatera Selatan,1884389,1844008,1.13063E+12,1.1064E+12
Bengkulu,566425,552843,3.39855E+11,3.31706E+11
Lampung,2817253,2773343,1.69035E+12,1.66401E+12
Kepulauan Bangka Belitung,172272,168012,1.03363E+11,1.00807E+11
Kepulauan Riau,251183,239773,1.5071E+11,1.43864E+11
DKI Jakarta,841362,812769,5.04817E+11,4.87661E+11
Jawa Barat,15578437,15381114,9.34706E+12,9.22867E+12
Jawa Tengah,12500023,12319492,7.50001E+12,7.3917E+12
DI Yogyakarta,1326838,1305356,7.96103E+11,7.83214E+11
Jawa Timur,11990432,11806155,7.19426E+12,7.08369E+12
Banten,2229101,2197612,1.33746E+12,1.31857E+12
Bali,614103,598381,3.68462E+11,3.59029E+11
Nusa Tenggara Barat,2043969,1998584,1.22638E+12,1.19915E+12
Nusa Tenggara Timur,2470193,2355814,1.48212E+12,1.41349E+12
Kalimantan Barat,1215823,1185869,7.29494E+11,7.11521E+11
Kalimantan Tengah,378077,361252,2.26846E+11,2.16751E+11
Kalimantan Selatan,628262,613042,3.76957E+11,3.67825E+11
Kalimantan Timur,355515,330300,2.13309E+11,1.9818E+11
Kalimantan Utara,94609,88967,56765400000,53380200000
Sulawesi Utara,538120,523426,3.22872E+11,3.14056E+11
Sulawesi Tengah,858611,835730,5.15167E+11,5.01438E+11
Sulawesi Selatan,2467673,2406145,1.4806E+12,1.44369E+12
Sulawesi Tenggara,752113,730416,4.51268E+11,4.3825E+11
Gorontalo,457776,451196,2.74666E+11,2.70718E+11
Sulawesi Barat,428465,418930,2.57079E+11,2.51358E+11
Maluku,400759,384321,2.40455E+11,2.30593E+11
Maluku Utara,220901,207123,1.32541E+11,1.24274E+11
Papua Barat,239622,219207,1.43773E+11,1.31524E+11
Papua Barat Daya,232768,204273,1.39661E+11,1.22564E+11
Papua,355721,319418,2.13433E+11,1.91651E+11
Papua Selatan,258004,257892,1.54802E+11,1.54735E+11
Papua Tengah,925519,900736,5.55311E+11,5.40442E+11
Papua Pegunungan,788656,788349,4.73194E+11,4.73009E+11
Indonesia,75073000,73597540,4.50438E+13,4.41585E+13
,,,,
Catatan,,,,
Bantuan Pangan Non-Tunai (BPNT)/<i>Cashless Food Assistance Programme</i>,,,,